tgl,ot,lat,lon,depth,mag,remark,datetime,year,month,day,hour,minute,elliptic_anomaly,anomaly_elliptic
2008/11/02,21:59:16.852,3.06,121.83,588,4.4,Celebes Sea,2008-11-02 21:59:16.852,2008,11,2,21,59,-1,Anomaly
2008/11/10,07:59:48.643,-7.25,121.0,650,4.5,Flores Sea,2008-11-10 07:59:48.643,2008,11,10,7,59,-1,Anomaly
2008/11/23,08:01:24.185,2.29,124.73,650,5.1,Celebes Sea,2008-11-23 08:01:24.185,2008,11,23,8,1,-1,Anomaly
2008/11/24,09:39:16.510,-5.0,115.99,551,4.9,Java Sea,2008-11-24 09:39:16.510,2008,11,24,9,39,-1,Anomaly
2008/11/24,09:10:49.164,1.1,125.58,650,5.6,Northern Molucca Sea,2008-11-24 09:10:49.164,2008,11,24,9,10,-1,Anomaly
2008/11/26,04:08:37.920,1.05,123.64,428,4.9,Minahassa Peninsula - Sulawesi,2008-11-26 04:08:37.920,2008,11,26,4,8,-1,Anomaly
2008/11/27,20:43:46.686,-7.25,126.65,441,4.9,Banda Sea,2008-11-27 20:43:46.686,2008,11,27,20,43,-1,Anomaly
2008/11/29,06:06:12.347,3.25,124.27,450,5.4,Celebes Sea,2008-11-29 06:06:12.347,2008,11,29,6,6,-1,Anomaly
2008/11/30,00:43:40.733,4.04,122.97,612,4.6,Celebes Sea,2008-11-30 00:43:40.733,2008,11,30,0,43,-1,Anomaly
2008/12/04,23:13:33.878,3.55,122.49,577,5.0,Celebes Sea,2008-12-04 23:13:33.878,2008,12,4,23,13,-1,Anomaly
2008/12/07,13:46:15.570,-0.34,121.59,589,4.2,Minahassa Peninsula - Sulawesi,2008-12-07 13:46:15.570,2008,12,7,13,46,-1,Anomaly
2008/12/17,00:53:48.338,-7.32,119.98,567,4.8,Flores Sea,2008-12-17 00:53:48.338,2008,12,17,0,53,-1,Anomaly
2008/12/18,22:07:26.236,5.48,111.24,510,4.8,South China Sea,2008-12-18 22:07:26.236,2008,12,18,22,7,-1,Anomaly
2008/12/24,09:20:27.290,-4.69,128.68,650,5.4,Banda Sea,2008-12-24 09:20:27.290,2008,12,24,9,20,-1,Anomaly
2008/12/24,06:14:18.973,-6.58,125.09,423,4.8,Banda Sea,2008-12-24 06:14:18.973,2008,12,24,6,14,-1,Anomaly
2008/12/25,22:49:14.908,0.17,120.62,650,4.5,Minahassa Peninsula - Sulawesi,2008-12-25 22:49:14.908,2008,12,25,22,49,-1,Anomaly
2008/12/25,18:12:06.778,5.38,124.3,429,5.4,Mindanao - Philippines,2008-12-25 18:12:06.778,2008,12,25,18,12,-1,Anomaly
2008/12/26,20:44:37.766,-7.21,123.6,650,4.7,Banda Sea,2008-12-26 20:44:37.766,2008,12,26,20,44,-1,Anomaly
2008/12/28,16:52:52.829,-6.48,114.14,563,3.9,Bali Sea,2008-12-28 16:52:52.829,2008,12,28,16,52,-1,Anomaly
2008/12/29,03:46:42.612,1.26,126.75,599,4.4,Northern Molucca Sea,2008-12-29 03:46:42.612,2008,12,29,3,46,-1,Anomaly
2009/01/02,15:18:23.453,-6.85,124.3,607,4.7,Banda Sea,2009-01-02 15:18:23.453,2009,1,2,15,18,-1,Anomaly
2009/01/02,07:54:28.370,-6.51,114.27,643,4.4,Bali Sea,2009-01-02 07:54:28.370,2009,1,2,7,54,-1,Anomaly
2009/01/06,13:28:43.861,-7.3,122.34,567,4.6,Flores Sea,2009-01-06 13:28:43.861,2009,1,6,13,28,-1,Anomaly
2009/01/15,16:21:03.562,-8.05,124.04,581,4.6,Timor Region,2009-01-15 16:21:03.562,2009,1,15,16,21,-1,Anomaly
2009/01/22,02:04:16.485,-5.77,108.38,508,4.1,Java Sea,2009-01-22 02:04:16.485,2009,1,22,2,4,-1,Anomaly
2009/01/27,06:35:50.438,-6.57,132.63,650,5.1,Tanimbar Islands Reg. - Indonesia,2009-01-27 06:35:50.438,2009,1,27,6,35,-1,Anomaly
2009/02/06,09:59:45.087,-7.07,123.24,663,5.2,Banda Sea,2009-02-06 09:59:45.087,2009,2,6,9,59,-1,Anomaly
2009/02/10,07:18:09.375,-5.74,120.51,518,4.5,Sulawesi - Indonesia,2009-02-10 07:18:09.375,2009,2,10,7,18,-1,Anomaly
2009/02/16,03:34:55.586,-7.09,125.26,542,4.7,Banda Sea,2009-02-16 03:34:55.586,2009,2,16,3,34,-1,Anomaly
2009/02/19,09:03:22.074,-7.54,120.6,592,5.0,Flores Sea,2009-02-19 09:03:22.074,2009,2,19,9,3,-1,Anomaly
2009/02/28,12:19:54.851,-6.89,125.08,585,4.6,Banda Sea,2009-02-28 12:19:54.851,2009,2,28,12,19,-1,Anomaly
2009/03/05,19:41:49.963,-5.44,114.77,681,4.9,Java Sea,2009-03-05 19:41:49.963,2009,3,5,19,41,-1,Anomaly
2009/03/07,18:44:57.356,-0.06,123.99,750,4.1,Minahassa Peninsula - Sulawesi,2009-03-07 18:44:57.356,2009,3,7,18,44,-1,Anomaly
2009/03/10,03:44:48.103,-7.0,125.11,537,4.3,Banda Sea,2009-03-10 03:44:48.103,2009,3,10,3,44,-1,Anomaly
2009/03/12,11:50:23.653,-7.73,120.06,559,4.4,Flores Sea,2009-03-12 11:50:23.653,2009,3,12,11,50,-1,Anomaly
2009/03/12,02:43:37.755,4.76,123.67,507,4.8,Celebes Sea,2009-03-12 02:43:37.755,2009,3,12,2,43,-1,Anomaly
2009/03/19,20:44:06.260,-5.08,113.33,562,4.6,Java Sea,2009-03-19 20:44:06.260,2009,3,19,20,44,-1,Anomaly
2009/03/28,20:31:55.262,-7.43,119.55,437,4.8,Flores Sea,2009-03-28 20:31:55.262,2009,3,28,20,31,-1,Anomaly
2009/03/30,07:53:59.464,3.81,122.14,600,4.6,Celebes Sea,2009-03-30 07:53:59.464,2009,3,30,7,53,-1,Anomaly
2009/03/31,16:18:31.129,-6.06,110.66,570,4.5,Java - Indonesia,2009-03-31 16:18:31.129,2009,3,31,16,18,-1,Anomaly
2009/03/31,01:55:30.419,-5.77,126.85,474,4.9,Banda Sea,2009-03-31 01:55:30.419,2009,3,31,1,55,-1,Anomaly
2009/04/04,11:15:06.705,1.91,125.42,644,4.9,Northern Molucca Sea,2009-04-04 11:15:06.705,2009,4,4,11,15,-1,Anomaly
2009/04/13,13:36:46.757,-6.91,125.05,552,5.1,Banda Sea,2009-04-13 13:36:46.757,2009,4,13,13,36,-1,Anomaly
2009/04/14,23:39:09.687,-5.68,115.11,712,5.1,Java Sea,2009-04-14 23:39:09.687,2009,4,14,23,39,-1,Anomaly
2009/04/16,21:28:00.015,0.23,107.13,532,5.1,South China Sea,2009-04-16 21:28:00.015,2009,4,16,21,28,-1,Anomaly
2009/04/30,00:44:49.309,-7.44,120.2,546,5.0,Flores Sea,2009-04-30 00:44:49.309,2009,4,30,0,44,-1,Anomaly
2009/05/02,21:21:06.974,-7.17,124.84,534,4.4,Banda Sea,2009-05-02 21:21:06.974,2009,5,2,21,21,-1,Anomaly
2009/05/04,19:01:27.459,3.17,122.66,537,4.4,Celebes Sea,2009-05-04 19:01:27.459,2009,5,4,19,1,-1,Anomaly
2009/05/04,07:47:06.023,-7.68,119.98,620,5.1,Flores Sea,2009-05-04 07:47:06.023,2009,5,4,7,47,-1,Anomaly
2009/05/07,16:14:35.654,1.07,121.73,483,3.8,Minahassa Peninsula - Sulawesi,2009-05-07 16:14:35.654,2009,5,7,16,14,-1,Anomaly
2009/05/12,12:19:33.611,3.19,122.61,545,4.5,Celebes Sea,2009-05-12 12:19:33.611,2009,5,12,12,19,-1,Anomaly
2009/05/16,02:16:49.099,-7.42,125.62,481,4.8,Banda Sea,2009-05-16 02:16:49.099,2009,5,16,2,16,-1,Anomaly
2009/05/17,16:40:39.180,-6.91,127.58,467,4.2,Banda Sea,2009-05-17 16:40:39.180,2009,5,17,16,40,-1,Anomaly
2009/06/11,14:38:51.444,-6.98,125.3,517,4.2,Banda Sea,2009-06-11 14:38:51.444,2009,6,11,14,38,-1,Anomaly
2009/06/15,14:27:20.514,-7.65,123.94,559,4.9,Banda Sea,2009-06-15 14:27:20.514,2009,6,15,14,27,-1,Anomaly
2009/06/23,05:55:21.299,-6.75,127.21,435,4.5,Banda Sea,2009-06-23 05:55:21.299,2009,6,23,5,55,-1,Anomaly
2009/07/01,23:37:12.103,-10.56,115.51,729,4.9,South of Bali - Indonesia,2009-07-01 23:37:12.103,2009,7,1,23,37,-1,Anomaly
2009/07/03,07:07:41.071,4.53,123.09,562,4.4,Celebes Sea,2009-07-03 07:07:41.071,2009,7,3,7,7,-1,Anomaly
2009/07/10,21:57:44.062,-7.32,120.94,532,4.1,Flores Sea,2009-07-10 21:57:44.062,2009,7,10,21,57,-1,Anomaly
2009/07/19,17:41:31.602,-5.91,110.69,553,4.1,Java Sea,2009-07-19 17:41:31.602,2009,7,19,17,41,-1,Anomaly
2009/07/27,11:16:02.891,-5.16,126.61,500,4.8,Banda Sea,2009-07-27 11:16:02.891,2009,7,27,11,16,-1,Anomaly
2009/08/03,18:18:55.443,-7.28,117.19,599,4.4,Bali Sea,2009-08-03 18:18:55.443,2009,8,3,18,18,-1,Anomaly
2009/08/12,11:50:50.452,-7.51,123.24,590,4.1,Banda Sea,2009-08-12 11:50:50.452,2009,8,12,11,50,-1,Anomaly
2009/08/12,02:52:10.564,-4.68,125.86,446,4.2,Banda Sea,2009-08-12 02:52:10.564,2009,8,12,2,52,-1,Anomaly
2009/08/15,23:37:42.900,-4.91,128.0,565,4.5,Banda Sea,2009-08-15 23:37:42.900,2009,8,15,23,37,-1,Anomaly
2009/09/28,04:13:21.377,-6.21,112.88,593,5.3,Java - Indonesia,2009-09-28 04:13:21.377,2009,9,28,4,13,-1,Anomaly
2009/09/29,23:38:40.315,-6.85,125.66,492,5.2,Banda Sea,2009-09-29 23:38:40.315,2009,9,29,23,38,-1,Anomaly
2009/09/30,07:27:39.049,2.58,122.94,472,4.8,Celebes Sea,2009-09-30 07:27:39.049,2009,9,30,7,27,-1,Anomaly
2009/10/04,21:31:44.763,-4.48,125.46,463,4.0,Banda Sea,2009-10-04 21:31:44.763,2009,10,4,21,31,-1,Anomaly
2009/10/04,05:09:01.766,-7.4,123.41,520,4.8,Banda Sea,2009-10-04 05:09:01.766,2009,10,4,5,9,-1,Anomaly
2009/10/07,21:59:10.362,3.01,123.62,554,4.7,Celebes Sea,2009-10-07 21:59:10.362,2009,10,7,21,59,-1,Anomaly
2009/10/07,21:41:14.570,4.32,122.56,579,6.2,Celebes Sea,2009-10-07 21:41:14.570,2009,10,7,21,41,-1,Anomaly
2009/10/08,09:10:02.877,3.92,122.43,590,5.1,Celebes Sea,2009-10-08 09:10:02.877,2009,10,8,9,10,-1,Anomaly
2009/10/08,04:53:19.677,3.39,122.17,568,4.8,Celebes Sea,2009-10-08 04:53:19.677,2009,10,8,4,53,-1,Anomaly
2009/10/09,00:43:43.057,2.76,121.86,604,4.6,Celebes Sea,2009-10-09 00:43:43.057,2009,10,9,0,43,-1,Anomaly
2009/10/10,09:01:01.673,3.92,122.38,583,4.9,Celebes Sea,2009-10-10 09:01:01.673,2009,10,10,9,1,-1,Anomaly
2009/10/15,18:06:56.316,-8.0,112.11,509,2.9,Java - Indonesia,2009-10-15 18:06:56.316,2009,10,15,18,6,-1,Anomaly
2009/10/17,21:51:33.868,-7.47,123.77,578,4.5,Banda Sea,2009-10-17 21:51:33.868,2009,10,17,21,51,-1,Anomaly
